分数,本分人数,累计人数
695,1,13
694,1,14
693,5,19
692,3,22
691,6,28
690,5,33
689,6,39
688,8,47
687,7,54
686,18,72
685,9,81
684,14,95
683,14,109
682,16,125
681,20,145
680,22,167
679,21,188
678,17,205
677,27,232
676,34,266
675,34,300
674,33,333
673,36,369
672,36,405
671,37,442
670,40,482
669,48,530
668,41,571
667,49,620
666,49,669
665,63,732
664,54,786
663,58,844
662,61,905
661,71,976
660,61,1037
659,72,1109
658,86,1195
657,69,1264
656,77,1341
655,89,1430
654,96,1526
653,84,1610
652,96,1706
651,89,1795
650,109,1904
649,109,2013
648,149,2162
647,132,2294
646,132,2426
645,132,2558
644,154,2712
643,143,2855
642,167,3022
641,153,3175
640,157,3332
639,157,3489
638,179,3668
637,182,3850
636,205,4055
635,213,4268
634,182,4450
633,207,4657
632,218,4875
631,210,5085
630,199,5284
629,222,5506
628,235,5741
627,242,5983
626,213,6196
625,247,6443
624,243,6686
623,254,6940
622,264,7204
621,281,7485
620,291,7776
619,262,8038
618,274,8312
617,286,8598
616,279,8877
615,293,9170
614,300,9470
613,303,9773
612,322,10095
611,318,10413
610,345,10758
609,358,11116
608,359,11475
607,353,11828
606,329,12157
605,397,12554
604,343,12897
603,335,13232
602,372,13604
601,384,13988
600,378,14366
599,419,14785
598,398,15183
597,374,15557
596,371,15928
595,388,16316
594,406,16722
593,403,17125
592,401,17526
591,396,17922
590,422,18344
589,424,18768
588,450,19218
587,422,19640
586,433,20073
585,423,20496
584,423,20919
583,442,21361
582,457,21818
581,477,22295
580,453,22748
579,461,23209
578,430,23639
577,510,24149
576,511,24660
575,497,25157
574,463,25620
573,476,26096
572,464,26560
571,487,27047
570,459,27506
569,531,28037
568,542,28579
567,509,29088
566,527,29615
565,487,30102
564,460,30562
563,507,31069
562,482,31551
561,549,32100
560,530,32630
559,527,33157
558,551,33708
557,517,34225
556,520,34745
555,580,35325
554,533,35858
553,576,36434
552,546,36980
551,552,37532
550,575,38107
549,552,38659
548,584,39243
547,562,39805
546,559,40364
545,579,40943
544,552,41495
543,541,42036
542,525,42561
541,571,43132
540,574,43706
539,615,44321
538,577,44898
537,614,45512
536,577,46089
535,606,46695
534,568,47263
533,585,47848
532,575,48423
531,656,49079
530,606,49685
529,625,50310
528,595,50905
527,635,51540
526,637,52177
525,662,52839
524,643,53482
523,640,54122
522,595,54717
521,633,55350
520,652,56002
519,660,56662
518,634,57296
517,624,57920
516,595,58515
515,675,59190
514,655,59845
513,621,60466
512,612,61078
511,662,61740
510,651,62391
509,637,63028
508,671,63699
507,632,64331
506,672,65003
505,680,65683
504,672,66355
503,682,67037
502,652,67689
501,640,68329
500,680,69009
499,652,69661
498,693,70354
497,690,71044
496,647,71691
495,693,72384
494,702,73086
493,731,73817
492,691,74508
491,700,75208
490,663,75871
489,673,76544
488,700,77244
487,688,77932
486,651,78583
485,704,79287
484,678,79965
483,688,80653
482,698,81351
481,711,82062
480,700,82762
479,692,83454
478,685,84139
477,697,84836
476,663,85499
475,701,86200
474,702,86902
473,648,87550
472,677,88227
471,652,88879
470,688,89567
469,716,90283
468,656,90939
467,626,91565
466,694,92259
465,683,92942
464,690,93632
463,659,94291
462,674,94965
461,657,95622
460,644,96266
459,607,96873
458,632,97505
457,645,98150
456,676,98826
455,649,99475
454,615,100090
453,629,100719
452,644,101363
451,616,101979
450,637,102616
449,624,103240
448,623,103863
447,592,104455
446,611,105066
445,593,105659
444,627,106286
443,591,106877
442,620,107497
441,625,108122
440,587,108709
439,604,109313
438,607,109920
437,581,110501
436,629,111130
435,584,111714
434,621,112335
433,578,112913
432,577,113490
431,544,114034
430,577,114611
429,560,115171
428,607,115778
427,553,116331
426,571,116902
425,542,117444
424,541,117985
423,567,118552
422,539,119091
421,515,119606
420,516,120122
419,515,120637
418,544,121181
417,505,121686
416,540,122226
415,507,122733
414,478,123211
413,498,123709
412,502,124211
411,484,124695
410,491,125186
409,470,125656
408,457,126113
407,494,126607
406,460,127067
405,476,127543
404,464,128007
403,496,128503
402,445,128948
401,416,129364
