分数,本分人数,累计人数
701,34,34
700,2,36
699,10,46
698,6,52
697,14,66
696,9,75
695,8,83
694,9,92
693,19,111
692,19,130
691,21,151
690,26,177
689,25,202
688,26,228
687,30,258
686,28,286
685,40,326
684,38,364
683,38,402
682,42,444
681,35,479
680,48,527
679,51,578
678,67,645
677,67,712
676,67,779
675,73,852
674,75,927
673,62,989
672,81,1070
671,94,1164
670,98,1262
669,108,1370
668,120,1490
667,103,1593
666,104,1697
665,130,1827
664,138,1965
663,142,2107
662,151,2258
661,163,2421
660,117,2538
659,168,2706
658,157,2863
657,178,3041
656,183,3224
655,205,3429
654,206,3635
653,218,3853
652,231,4084
651,230,4314
650,224,4538
649,210,4748
648,252,5000
647,256,5256
646,243,5499
645,271,5770
644,277,6047
643,275,6322
642,299,6621
641,297,6918
640,312,7230
639,345,7575
638,352,7927
637,358,8285
636,359,8644
635,409,9053
634,423,9476
633,389,9865
632,414,10279
631,438,10717
630,413,11130
629,440,11570
628,447,12017
627,436,12453
626,508,12961
625,502,13463
624,519,13982
623,489,14471
622,538,15009
621,509,15518
620,593,16111
619,529,16640
618,560,17200
617,604,17804
616,613,18417
615,633,19050
614,595,19645
613,662,20307
612,643,20950
611,619,21569
610,677,22246
609,642,22888
608,735,23623
607,714,24337
606,659,24996
605,724,25720
604,756,26476
603,721,27197
602,713,27910
601,763,28673
600,752,29425
599,763,30188
598,818,31006
597,864,31870
596,837,32707
595,849,33556
594,881,34437
593,908,35345
592,871,36216
591,877,37093
590,913,38006
589,901,38907
588,894,39801
587,940,40741
586,974,41715
585,930,42645
584,991,43636
583,1031,44667
582,957	,45624
581,1033,46657
580,1088,47745
579,1024,48769
578,1076,49845
577,1048,50893
576,1050,51943
575,1120,53063
574,1024,54087
573,1129,55216
572,1122,56338
571,1147,57485
570,1066,58551
569,1135,59686
568,1179,60865
567,1160,62025
566,1226,63251
565,1175,64426
564,1212,65638
563,1254,66892
562,1245,68137
561,1297,69434
560,1279,70713
559,1311,72024
558,1295,73319
557,1218,74537
556,1297,75834
555,1351,77185
554,1308,78493
553,1402,79895
552,1311,81206
551,1335,82541
550,1401,83942
549,1320,85262
548,1366,86628
547,1482,88110
546,1352,89462
545,1506,90968
544,1372,92340
543,1372,93712
542,1397,95109
541,1477,96586
540,1459,98045
539,1491,99536
538,1484,101020
537,1455,102475
536,1500,103975
535,1487,105462
534,1528,106990
533,1489,108479
532,1441,109920
531,1508,111428
530,1536,112964
529,1527,114491
528,1482,115973
527,1463,117436
526,1504,118940
525,1454,120394
524,1520,121914
523,1516,123430
522,1492,124922
521,1502,126424
520,1492,127916
519,1536,129452
518,1555,131007
517,1605,132612
516,1467,134079
515,1532,135611
514,1523,137134
513,1496,138630
512,1541,140171
511,1564,141735
510,1514,143249
509,1579,144828
508,1552,146380
507,1518,147898
506,1483,149381
505,1515,150896
504,1518,152414
503,1522,153936
502,1550,155486
501,1548,157034
500,1519,158553
499,1561,160114
498,1522,161636
497,1570,163206
496,1558,164764
495,1520,166284
494,1540,167824
493,1457,169281
492,1456,170737
491,1524,172261
490,1432,173693
489,1453,175146
488,1444,176590
487,1518,178108
486,1469,179577
485,1466,181043
484,1472,182515
483,1520,184035
482,1502,185537
481,1490,187027
480,1435,188462
479,1384,189846
478,1450,191296
477,1477,192773
476,1403,194176
475,1405,195581
474,1392,196973
473,1424,198397
472,1442,199839
471,1417,201256
470,1419,202675
469,1364,204039
468,1361,205400
467,1380,206780
466,1417,208197
465,1340,209537
464,1311,210848
463,1340,212188
462,1358,213546
461,1360,214906
460,1227,216133
459,1391,217524
458,1362,218886
457,1244,220130
456,1260,221390
455,1310,222700
454,1284,223984
453,1210,225194
452,1248,226442
451,1201,227643
450,1264,228907
449,1263,230170
448,1260,231430
447,1192,232622
446,1208,233830
445,1187,235017
444,1224,236241
443,1175,237416
442,1265,238681
441,1182,239863
440,1174,241037
439,1152,242189
438,1199,243388
437,1171,244559
436,1089,245648
435,1172,246820
434,1106,247926
433,1108,249034
432,1098,250132
431,1094,251226
430,1138,252364
429,1131,253495
428,1068,254563
427,1109,255672
426,1024,256696
425,1079,257775
424,1064,258839
423,972,259811
422,991,260802
421,1065,261867
420,1025,262892
419,1046,263938
418,1031,264969
417,982,265951
416,1049,267000
415,978,267978
414,971,268949
413,950,269899
412,964,270863
411,904,271767
410,979,272746
409,908,273654
408,950,274604
407,943,275547
406,937,276484
405,925,277409
404,876,278285
403,886,279171
402,907,280078
401,925,281003
400,908,281911
399,813,282724
398,893,283617
397,805,284422
396,811,285233
395,838,286071
394,802,286873
393,828,287701
392,841,288542
391,779,289321
390,790,290111
389,742,290853
388,755,291608
387,755,292363
386,778,293141
385,800,293941
384,757,294698
383,741,295439
382,702,296141
381,735,296876
380,680,297556
379,742,298298
378,693,298991
377,711,299702
376,680,300382
375,686,301068
374,676,301744
373,614,302358
372,621,302979
371,678,303657
370,633,304290
369,663,304953
368,673,305626
367,632,306258
366,619,306877
365,630,307507
364,621,308128
363,549,308677
362,592,309269
361,593,309862
360,594,310456
359,559,311015
358,582,311597
357,584,312181
356,552,312733
355,542,313275
354,504,313779
353,562,314341
352,514,314855
351,514,315369
350,519,315888
349,546,316434
348,513,316947
347,503,317450
346,517,317967
345,498,318465
344,486,318951
343,489,319440
342,484,319924
341,452,320376
340,462,320838
339,465,321303
338,452,321755
337,441,322196
336,428,322624
335,441,323065
334,427,323492
333,386,323878
332,455,324333
331,419,324752
330,394,325146
329,388,325534
328,436,325970
327,409,326379
326,381,326760
325,403,327163
324,352,327515
323,393,327908
322,377,328285
321,383,328668
320,343,329011
319,348,329359
318,369,329728
317,329,330057
316,315,330372
315,340,330712
314,342,331054
313,340,331394
312,350,331744
311,297,332041
310,281,332322
309,304,332626
308,306,332932
307,325,333257
306,295,333552
305,285,333837
304,302,334139
303,284,334423
302,286,334709
301,276,334985
300,291,335276
299,275,335551
298,281,335832
297,272,336104
296,257,336361
295,270,336631
294,231,336862
293,231,337093
292,273,337366
291,236,337602
290,202,337804
289,220,338024
288,251,338275
287,218,338493
286,220,338713
285,252,338965
284,224,339189
283,225,339414
282,197,339611
281,231,339842
280,233,340075
279,196,340271
278,202,340473
277,204,340677
276,194,340871
275,205,341076
274,189,341265
273,177,341442
272,190,341632
271,191,341823
270,178,342001
269,196,342197
268,181,342378
267,176,342554
266,173,342727
265,188,342915
264,170,343085
263,159,343244
262,168,343412
261,170,343582
260,168,343750
259,165,343915
258,162,344077
257,167,344244
256,157,344401
255,155,344556
254,149,344705
253,153,344858
252,153,345011
251,128,345139
250,134,345273
249,164,345437
248,124,345561
247,137,345698
246,144,345842
245,130,345972
244,123,346095
243,117,346212
242,105,346317
241,125,346442
240,135,346577
239,125,346702
238,137,346839
237,126,346965
236,115,347080
235,121,347201
234,109,347310
233,115,347425
232,91,347516
231,97,347613
230,107,347720
229,91,347811
228,95,347906
227,98,348004
226,98,348102
225,84,348186
224,91,348277
223,80,348357
222,85,348442
221,71,348513
220,73,348586
219,80,348666
218,68,348734
217,58,348792
216,69,348861
215,74,348935
214,63,348998
213,83,349081
212,60,349141
211,57,349198
210,58,349256
209,55,349311
208,53,349364
207,54,349418
206,52,349470
205,61,349531
204,49,349580
203,43,349623
202,41,349664
201,56,349720
200,43,349763
199,43,349806
198,31,349837
197,48,349885
196,27,349912
195,37,349949
194,43,349992
193,34,350026
192,31,350057
191,33,350090
190,31,350121
189,33,350154
188,42,350196
187,23,350219
186,20,350239
185,25,350264
184,23,350287
183,26,350313
182,23,350336
181,23,350359
180,23,350382
179,26,350408
178,20,350428
177,17,350445
176,18,350463
175,25,350488
174,26,350514
173,33,350547
172,23,350570
171,19,350589
170,14,350603
169,19,350622
168,17,350639
167,15,350654
166,16,350670
165,16,350686
164,18,350704
163,14,350718
162,17,350735
161,14,350749
160,7,350756
159,18,350774
158,14,350788
157,12,350800
156,12,350812
155,11,350823
154,14,350837
153,12,350849
152,20,350869
151,12,350881
150,9,350890
149,19,350909
148,5,350914
147,13,350927
146,6,350933
145,11,350944
144,9,350953
143,9,350962
142,9,350971
141,7,350978
140,13,350991
