分数,本分人数,累计人数
671,31,31
670,5,36
669,2,38
668,6,44
667,7,51
666,6,57
665,10,67
664,8,75
663,6,81
662,6,87
661,9,96
660,14,110
659,6,116
658,10,126
657,14,140
656,18,158
655,18,176
654,17,193
653,18,211
652,21,232
651,26,258
650,25,283
649,34,317
648,42,359
647,30,389
646,38,427
645,39,466
644,46,512
643,37,549
642,37,586
641,60,646
640,40,686
639,53,739
638,57,796
637,58,854
636,64,918
635,60,978
634,59,1037
633,56,1093
632,68,1161
631,94,1255
630,91,1346
629,91,1437
628,91,1528
627,108,1636
626,105,1741
625,99,1840
624,103,1943
623,107,2050
622,123,2173
621,122,2295
620,120,2415
619,105,2520
618,147,2667
617,132,2799
616,127,2926
615,167,3093
614,154,3247
613,158,3405
612,153,3558
611,167,3725
610,176,3901
609,160,4061
608,204,4265
607,233,4498
606,176,4674
605,185,4859
604,205,5064
603,204,5268
602,204,5472
601,218,5690
600,241,5931
599,212,6143
598,199,6342
597,220,6562
596,236,6798
595,238,7036
594,261,7297
593,275,7572
592,247,7819
591,274,8093
590,279,8372
589,281,8653
588,273,8926
587,297,9223
586,267,9490
585,307,9797
584,308,10105
583,296,10401
582,306,10707
581,336,11043
580,340,11383
579,324,11707
578,382,12089
577,362,12451
576,354,12805
575,378,13183
574,342,13525
573,352,13877
572,354,14231
571,346,14577
570,406,14983
569,387,15370
568,394,15764
567,435,16199
566,389,16588
565,401,16989
564,389,17378
563,487,17865
562,400,18265
561,488,18753
560,452,19205
559,419,19624
558,462,20086
557,432,20518
556,439,20957
555,460,21417
554,484,21901
553,468,22369
552,490,22859
551,495,23354
550,501,23855
549,518,24373
548,475,24848
547,526,25374
546,548,25922
545,537,26459
544,541,27000
543,529,27529
542,529,28058
541,522,28580
540,519,29099
539,562,29661
538,548,30209
537,561,30770
536,523,31293
535,528,31821
534,587,32408
533,584,32992
532,587,33579
531,560,34139
530,539,34678
529,574,35252
528,547,35799
527,600,36399
526,568,36967
525,585,37552
524,629,38181
523,581,38762
522,611,39373
521,595,39968
520,620,40588
519,625,41213
518,704,41917
517,605,42522
516,604,43126
515,612,43738
514,660,44398
513,682,45080
512,630,45710
511,662,46372
510,624,46996
509,662,47658
508,683,48341
507,662,49003
506,614,49617
505,655,50272
504,702,50974
503,669,51643
502,641,52284
501,708,52992
500,698,53690
499,668,54358
498,677,55035
497,721,55756
496,689,56445
495,678,57123
494,688,57811
493,675,58486
492,701,59187
491,696,59883
490,691,60574
489,668,61242
488,712,61954
487,699,62653
486,681,63334
485,691,64025
484,681,64706
483,723,65429
482,769,66198
481,703,66901
480,709,67610
479,707,68317
478,698,69015
477,728,69743
476,695,70438
475,792,71230
474,689,71919
473,710,72629
472,729,73358
471,721,74079
470,716,74795
469,680,75475
468,676,76151
467,774,76925
466,784,77709
465,754,78463
464,691,79154
463,713,79867
462,729,80596
461,772,81368
460,762,82130
459,715,82845
458,735,83580
457,777,84357
456,722,85079
455,744,85823
454,758,86581
453,768,87349
452,761,88110
451,759,88869
450,716,89585
449,768,90353
448,733,91086
447,790,91876
446,722,92598
445,809,93407
444,761,94168
443,781,94949
442,766,95715
441,750,96465
440,714,97179
439,793,97972
438,762,98734
437,742,99476
436,749,100225
435,828,101053
434,793,101846
