原省份,原始分,百分位(%),对应山西分,Delta
河北2025物理,693,0.014271060964188556,696.9794351781653,3.9794351781653177
河北2025物理,688,0.03656959372073317,693.001769016932,5.00176901693203
河北2025物理,683,0.08072068857869152,687.8509422722842,4.850942272284215
河北2025物理,678,0.14717031619319448,681.7995451099317,3.799545109931728
河北2025物理,673,0.24528386032199082,676.9991080586898,3.999108058689785
河北2025物理,668,0.3871025286536146,670.0831873676506,2.0831873676505666
河北2025物理,663,0.5998305311510503,663.8510765731614,0.8510765731614356
河北2025物理,658,0.8669669535744547,658.4743455380636,0.47434553806363056
河北2025物理,653,1.2036747981982785,652.5595890357425,-0.44041096425746673
河北2025物理,648,1.6741738393613699,646.7565712856507,-1.2434287143493066
河北2025物理,643,2.2276234223788074,640.2704622209412,-2.7295377790587736
河北2025物理,638,2.900147170316193,633.5594544765318,-4.440545523468245
河北2025物理,633,3.6730143156580297,627.1926449463309,-5.8073550536690846
河北2025物理,628,4.580564598849396,621.088496977428,-6.911503022571992
河北2025物理,623,5.615662489408197,614.7104143937573,-8.289585606242667
河北2025物理,618,6.765820808990769,608.9129396047837,-9.087060395216326
河北2025物理,613,8.078312447040984,602.5531142473902,-10.446885752609774
河北2025物理,608,9.523257369665076,596.3491980538361,-11.650801946163938
河北2025物理,603,11.07478927886545,590.2999911229259,-12.700008877074083
河北2025物理,598,12.753422824778129,584.3309162785661,-13.669083721433935
河北2025物理,593,14.579672657539133,578.3737803003913,-14.626219699608669
河北2025物理,588,16.55576863042412,572.1667848435429,-15.833215156457072
河北2025物理,583,18.695535833742138,565.7659272384556,-17.23407276154444
河北2025物理,578,20.971770057530215,559.7711868194444,-18.228813180555562
河北2025物理,573,23.361726798376665,553.6103793580598,-19.389620641940155
河北2025物理,568,25.866297997591758,547.558620166793,-20.441379833206952
河北2025物理,563,28.518039513000044,541.4790740971775,-21.520925902822455
河北2025物理,558,31.362440351424876,535.2566868309856,-22.743313169014414
河北2025物理,553,34.33305088525175,529.0234000802748,-23.97659991972523
河北2025物理,548,37.416046024171614,522.9516551044024,-25.048344895597552
河北2025物理,543,40.59537082459974,517.0399963735356,-25.960003626464413
河北2025物理,538,43.91740623466976,510.9797023049791,-27.020297695020872
河北2025物理,533,47.31525665611203,505.02053715107604,-27.97946284892396
